,ovx
2007-05,26.642
2007-06,27.002857142857142
2007-07,27.72
2007-08,30.717391304347824
2007-09,29.849999999999998
2007-10,31.300434782608693
2007-11,36.978095238095236
2007-12,33.323
2008-01,33.434285714285714
2008-02,32.667
2008-03,40.3085
2008-04,39.684090909090905
2008-05,38.97095238095238
2008-06,45.98761904761905
2008-07,48.92545454545455
2008-08,46.71190476190476
2008-09,50.593809523809526
2008-10,72.1891304347826
2008-11,80.89105263157894
2008-12,91.9159090909091
2009-01,80.8995
2009-02,71.70842105263158
2009-03,68.82772727272727
2009-04,57.84095238095239
2009-05,44.363
2009-06,45.02636363636364
2009-07,46.24136363636364
2009-08,45.73095238095238
2009-09,43.978095238095236
2009-10,41.683181818181815
2009-11,38.602
2009-12,39.58772727272727
2010-01,32.62
2010-02,35.485263157894735
2010-03,31.946521739130436
2010-04,28.377619047619046
2010-05,40.4045
2010-06,39.63
2010-07,34.50380952380952
2010-08,33.175000000000004
2010-09,31.712857142857143
2010-10,32.38285714285714
2010-11,31.247142857142858
2010-12,28.903636363636362
2011-01,28.877
2011-02,33.71
2011-03,39.85391304347826
2011-04,31.9625
2011-05,37.6647619047619
2011-06,34.00409090909091
2011-07,31.963
2011-08,47.47086956521739
2011-09,48.08952380952381
2011-10,48.5152380952381
2011-11,45.593809523809526
2011-12,39.4
2012-01,34.697500000000005
2012-02,33.012
2012-03,29.811818181818182
2012-04,27.972
2012-05,30.107727272727274
2012-06,36.65428571428571
2012-07,35.580000000000005
2012-08,31.72217391304348
2012-09,33.8721052631579
2012-10,33.266666666666666
2012-11,30.65095238095238
2012-12,28.945
2013-01,24.11095238095238
2013-02,23.397368421052633
2013-03,20.0715
2013-04,23.629545454545454
2013-05,23.88090909090909
2013-06,22.8365
2013-07,24.045454545454547
2013-08,23.998636363636365
2013-09,24.269
2013-10,21.61608695652174
2013-11,19.966
2013-12,17.472857142857144
2014-01,19.57
2014-02,19.04
2014-03,20.031428571428574
2014-04,18.812380952380952
2014-05,16.67809523809524
2014-06,16.834285714285713
2014-07,16.86909090909091
2014-08,17.93190476190476
2014-09,19.63142857142857
2014-10,29.371304347826086
2014-11,33.15736842105263
2014-12,47.80590909090909
2015-01,55.170500000000004
2015-02,57.79947368421053
2015-03,51.530454545454546
2015-04,42.76238095238095
2015-05,34.1805
2015-06,32.54363636363637
2015-07,38.11227272727273
2015-08,43.94857142857143
2015-09,49.60285714285715
2015-10,42.823181818181816
2015-11,44.0395
2015-12,49.03181818181818
2016-01,60.914210526315784
2016-02,67.7465
2016-03,48.79363636363637
2016-04,46.1747619047619
2016-05,41.36761904761905
2016-06,39.72409090909091
2016-07,39.989
2016-08,38.97347826086956
2016-09,41.00476190476191
2016-10,36.04714285714286
2016-11,46.27619047619047
2016-12,32.41571428571429
2017-01,31.2825
2017-02,27.402631578947368
2017-03,29.24739130434783
2017-04,27.962631578947367
2017-05,32.474090909090904
2017-06,31.955454545454543
2017-07,30.860500000000002
2017-08,29.13478260869565
2017-09,27.576
2017-10,26.145000000000003
2017-11,27.666190476190476
2017-12,21.587
2018-01,22.994761904761905
2018-02,26.69421052631579
2018-03,26.00142857142857
2018-04,27.705714285714286
2018-05,26.679090909090913
2018-06,27.524285714285714
2018-07,27.11904761904762
2018-08,25.28739130434783
2018-09,26.53842105263158
2018-10,28.66391304347826
2018-11,45.32285714285714
2018-12,48.83421052631579
2019-01,41.42142857142857
2019-02,32.03947368421053
2019-03,28.459047619047617
2019-04,26.007619047619045
2019-05,32.462272727272726
2019-06,41.566500000000005
2019-07,32.80045454545455
2019-08,34.568636363636365
2019-09,37.761
2019-10,37.7195652173913
2019-11,33.1425
2019-12,27.93095238095238
2020-01,33.00952380952381
2020-02,38.83315789473684
2020-03,126.24454545454546
2020-04,163.65238095238095
2020-05,87.701
2020-06,63.78590909090909
2020-07,46.305
2020-08,34.89904761904762
2020-09,43.69238095238095
2020-10,48.83045454545454
2020-11,49.7815
2020-12,39.815909090909095
2021-01,37.74578947368421
2021-02,37.06473684210526
2021-03,42.417826086956524
2021-04,38.315
2021-05,37.1055
2021-06,33.00409090909091
2021-07,37.70761904761905
2021-08,38.20272727272727
2021-09,34.01380952380952
2021-10,37.27619047619047
2021-11,41.04904761904762
2021-12,50.11
2022-01,41.346
2022-02,46.72789473684211
2022-03,67.49521739130435
2022-04,52.85
2022-05,51.63809523809524
2022-06,46.99857142857143
2022-07,50.437
2022-08,48.837391304347825
2022-09,50.4352380952381
2022-10,50.61428571428572
2022-11,46.52761904761905
2022-12,43.860952380952384
2023-01,40.279
2023-02,37.072631578947366
2023-03,42.24304347826087
2023-04,35.60947368421053
2023-05,37.11818181818182
2023-06,35.47190476190476
2023-07,31.577999999999996
2023-08,28.15869565217391
2023-09,28.788
2023-10,40.64636363636364
2023-11,40.38047619047619
2023-12,35.9895
2024-01,36.62238095238096
2024-02,32.2065
2024-03,28.985000000000003
2024-04,30.37681818181818
2024-05,28.042272727272724
2024-06,26.15947368421053
2024-07,26.38
2024-08,33.777727272727276
2024-09,36.385
2024-10,47.83652173913043
2024-11,38.4195
2024-12,31.35142857142857
2025-01,32.418
2025-02,31.720526315789478
2025-03,32.18666666666667
2025-04,44.22428571428571
2025-05,40.77142857142857
2025-06,46.347
2025-07,35.10272727272727
2025-08,33.85809523809524
2025-09,33.54190476190476
2025-10,36.372173913043476
2025-11,34.20789473684211
2025-12,32.87909090909091
2026-01,42.089999999999996
2026-02,52.62315789473684
2026-03,95.3459090909091
2026-04,79.95190476190476
2026-05,70.8735
2026-06,53.24333333333334
2026-07,56.655
2026-08,52.496428571428574
