,ig_oas
2023-08,1.23
2023-09,1.2204545454545455
2023-10,1.2931818181818182
2023-11,1.2131818181818181
2023-12,1.072857142857143
2024-01,1.0272727272727273
2024-02,0.9804761904761905
2024-03,0.9542857142857143
2024-04,0.92
2024-05,0.8895652173913043
2024-06,0.9357142857142856
2024-07,0.9343478260869567
2024-08,1.0047826086956522
2024-09,0.9609523809523809
2024-10,0.8552173913043477
2024-11,0.8068181818181818
2024-12,0.8035
2025-01,0.8227272727272728
2025-02,0.8230000000000001
2025-03,0.9176190476190476
2025-04,1.1057142857142856
2025-05,0.9608695652173914
2025-06,0.8804761904761904
2025-07,0.8060869565217391
2025-08,0.7863636363636364
2025-09,0.7718181818181818
2025-10,0.7760869565217392
2025-11,0.8323809523809524
2025-12,0.7968181818181819
2026-01,0.7586363636363637
2026-02,0.7857142857142857
2026-03,0.8804545454545455
2026-04,0.8209090909090908
2026-05,0.7613636363636364
2026-06,0.745909090909091
2026-07,0.78
2026-08,0.7935714285714285
