,hy_oas
2023-08,3.88
2023-09,3.889090909090909
2023-10,4.3554545454545455
2023-11,3.985909090909091
2023-12,3.5742857142857143
2024-01,3.5459090909090913
2024-02,3.3600000000000003
2024-03,3.18047619047619
2024-04,3.227272727272727
2024-05,3.11695652173913
2024-06,3.2
2024-07,3.1552173913043475
2024-08,3.3660869565217393
2024-09,3.258095238095238
2024-10,2.930434782608696
2024-11,2.6963636363636363
2024-12,2.755238095238095
2025-01,2.7204545454545457
2025-02,2.7085
2025-03,3.1714285714285713
2025-04,4.034761904761905
2025-05,3.354347826086957
2025-06,3.125238095238095
2025-07,2.889130434782609
2025-08,2.902727272727273
2025-09,2.788181818181818
2025-10,2.924782608695652
2025-11,3.080952380952381
2025-12,2.8918181818181816
2026-01,2.7404545454545453
2026-02,2.9195238095238096
2026-03,3.1872727272727275
2026-04,2.9254545454545453
2026-05,2.773636363636364
2026-06,2.731818181818182
2026-07,2.743478260869565
2026-08,2.722142857142857
