,uranium
2021-08,32.15
2021-09,45.08
2021-10,38.48
2021-11,31.1
2021-12,36.13
2022-01,36.87
2022-02,35.83
2022-03,45.51
2022-04,48.7
2022-05,40.89
2022-06,40.33
2022-07,38.94
2022-08,39.8
2022-09,40.95
2022-10,41.3
2022-11,40.95
2022-12,39.18
2023-01,40.06
2023-02,41.31
2023-03,40.74
2023-04,41.76
2023-05,43.46
2023-06,45.7
2023-07,45.25
2023-08,46.38
2023-09,53.2
2023-10,57.65
2023-11,62.29
2023-12,70.06
2024-01,80.36
2024-02,81.32
2024-03,71.81
2024-04,71.64
2024-05,73.95
2024-06,69.19
2024-07,68.25
2024-08,65.29
2024-09,64.63
2024-10,66.51
2024-11,63.16
2024-12,60.22
2025-01,58.96
2025-02,54.32
2025-03,51.83
2025-04,52.69
2025-05,57.31
2025-06,59.58
2025-07,58.95
2025-08,58.97
2025-09,62.88
2025-10,63.96
2025-11,62.24
2025-12,63.51
2026-01,69.71
2026-02,71.3
2026-03,68.79
2026-04,69.39
2026-05,69.06
2026-06,69.11
2026-07,69.23
