,eu_equities
2012-01,65.52468
2012-02,69.40412
2012-03,70.38325
2012-04,66.0906
2012-05,62.28695
2012-06,60.68549
2012-07,63.56952
2012-08,67.52279
2012-09,70.21201
2012-10,69.80975
2012-11,69.82182
2012-12,72.95261
2013-01,75.44898
2013-02,74.30003
2013-03,75.94781
2013-04,74.65344
2013-05,78.6491
2013-06,75.30694
2013-07,76.45506
2013-08,79.78374
2013-09,81.58591
2013-10,84.61816
2013-11,86.66119
2013-12,85.69329
2014-01,88.34238
2014-02,88.68092
2014-03,88.97874
2014-04,90.68548
2014-05,91.14529
2014-06,93.04795
2014-07,90.47438
2014-08,87.39693
2014-09,90.96001
2014-10,85.39798
2014-11,88.62
2014-12,89.9124
2015-01,91.80496
2015-02,99.14811
2015-03,104.9504
2015-04,107.5063
2015-05,104.8303
2015-06,102.177
2015-07,102.8282
2015-08,100.1312
2015-09,92.8857
2015-10,96.0555
2015-11,100.5562
2015-12,97.12614
2016-01,90.36546
2016-02,85.4269
2016-03,90.35648
2016-04,90.7885
2016-05,89.69597
2016-06,87.63414
2016-07,87.82053
2016-08,90.72702
2016-09,91.37519
2016-10,92.03178
2016-11,91.10402
2016-12,96.24695
2017-01,98.9314
2017-02,99.15401
2017-03,102.6455
2017-04,104.8432
2017-05,108.6536
2017-06,107.6759
2017-07,106.0637
2017-08,105.2842
2017-09,106.8775
2017-10,109.9482
2017-11,109.9527
2017-12,109.3862
2018-01,111.6844
2018-02,106.8396
2018-03,105.4975
2018-04,107.4639
2018-05,110.1094
2018-06,107.6366
2018-07,107.7382
2018-08,107.3609
2018-09,105.6573
2018-10,100.7757
2018-11,98.61532
2018-12,93.84237
2019-01,95.42643
2019-02,99.66153
2019-03,102.6629
2019-04,106.4943
2019-05,103.6909
2019-06,103.7838
2019-07,106.6692
2019-08,102.0647
2019-09,106.5836
2019-10,107.4636
2019-11,111.8338
2019-12,112.7054
2020-01,114.1988
2020-02,114.2796
2020-03,86.59691
2020-04,87.25377
2020-05,90.40842
2020-06,99.34293
2020-07,101.615
2020-08,101.5684
2020-09,100.8304
2020-10,99.67136
2020-11,106.0354
2020-12,110.6379
2021-01,113.0933
2021-02,115.0985
2021-03,118.5624
2021-04,123.4095
2021-05,124.5916
2021-06,127.813
2021-07,127.3939
2021-08,131.5263
2021-09,130.6774
2021-10,129.5189
2021-11,134.3893
2021-12,131.6776
2022-01,132.227
2022-02,127.0804
2022-03,118.4808
2022-04,120.439
2022-05,116.0843
2022-06,112.172
2022-07,109.5836
2022-08,114.6805
2022-09,107.339
2022-10,106.251
2022-11,116.276
2022-12,117.3453
2023-01,123.4687
2023-02,127.9489
2023-03,125.9053
2023-04,129.2405
2023-05,128.126
2023-06,127.8523
2023-07,129.1551
2023-08,127.4257
2023-09,125.5614
2023-10,120.9331
2023-11,125.7574
2023-12,132.556
2024-01,132.4796
2024-02,137.3935
2024-03,143.2536
2024-04,143.6205
2024-05,145.8435
2024-06,143.1714
2024-07,142.119
2024-08,138.6906
2024-09,141.7535
2024-10,143.4883
2024-11,139.665
2024-12,142.2882
2025-01,146.6177
2025-02,155.4396
2025-03,156.9372
2025-04,146.075
2025-05,157.9189
2025-06,157.7038
2025-07,159.072
2025-08,160.5488
2025-09,160.7973
2025-10,166.8486
2025-11,166.6128
2025-12,169.7321
2026-01,176.1132
