,yen
1994-10,98.353
1994-11,98.044
1994-12,100.1824
1995-01,99.766
1995-02,98.2368
1995-03,90.5196
1995-04,83.6895
1995-05,85.1127
1995-06,84.6355
1995-07,87.397
1995-08,94.7383
1995-09,100.5455
1995-10,100.839
1995-11,101.94
1995-12,101.8495
1996-01,105.7514
1996-02,105.788
1996-03,105.94
1996-04,107.1995
1996-05,106.3423
1996-06,108.96
1996-07,109.1909
1996-08,107.8659
1996-09,109.931
1996-10,112.4123
1996-11,112.2958
1996-12,113.981
1997-01,117.9124
1997-02,122.9621
1997-03,122.7738
1997-04,125.6377
1997-05,119.1924
1997-06,114.2857
1997-07,115.3759
1997-08,117.9295
1997-09,120.89
1997-10,121.0605
1997-11,125.3817
1997-12,129.7341
1998-01,129.5475
1998-02,125.8516
1998-03,129.0823
1998-04,131.7536
1998-05,134.896
1998-06,140.3305
1998-07,140.7874
1998-08,144.68
1998-09,134.4805
1998-10,121.0486
1998-11,120.2895
1998-12,117.0709
1999-01,113.29
1999-02,116.6684
1999-03,119.473
1999-04,119.7723
1999-05,121.9995
1999-06,120.7245
1999-07,119.3305
1999-08,113.2268
1999-09,106.8752
1999-10,105.965
1999-11,104.6485
1999-12,102.5843
2000-01,105.296
2000-02,109.3885
2000-03,106.3074
2000-04,105.627
2000-05,108.3205
2000-06,106.1255
2000-07,108.2115
2000-08,108.0804
2000-09,106.8375
2000-10,108.4429
2000-11,109.0095
2000-12,112.209
2001-01,116.6719
2001-02,116.2337
2001-03,121.505
2001-04,123.771
2001-05,121.7682
2001-06,122.351
2001-07,124.4981
2001-08,121.367
2001-09,118.6117
2001-10,121.4536
2001-11,122.4055
2001-12,127.5945
2002-01,132.6833
2002-02,133.6426
2002-03,131.061
2002-04,130.7718
2002-05,126.375
2002-06,123.2905
2002-07,117.8991
2002-08,118.9927
2002-09,121.078
2002-10,123.9077
2002-11,121.6079
2002-12,121.8929
2003-01,118.8133
2003-02,119.3379
2003-03,118.6871
2003-04,119.895
2003-05,117.3681
2003-06,118.329
2003-07,118.6959
2003-08,118.6624
2003-09,114.8
2003-10,109.4955
2003-11,109.1778
2003-12,107.7377
2004-01,106.2685
2004-02,106.7079
2004-03,108.5157
2004-04,107.6564
2004-05,112.196
2004-06,109.4336
2004-07,109.4871
2004-08,110.2336
2004-09,110.0914
2004-10,108.7835
2004-11,104.699
2004-12,103.8104
2005-01,103.341
2005-02,104.9442
2005-03,105.2543
2005-04,107.1938
2005-05,106.5952
2005-06,108.7473
2005-07,111.9535
2005-08,110.6065
2005-09,111.239
2005-10,114.8695
2005-11,118.454
2005-12,118.4624
2006-01,115.4765
2006-02,117.8605
2006-03,117.2778
2006-04,117.0695
2006-05,111.7305
2006-06,114.625
2006-07,115.767
2006-08,115.9243
2006-09,117.2145
2006-10,118.609
2006-11,117.3205
2006-12,117.322
2007-01,120.4471
2007-02,120.5047
2007-03,117.26
2007-04,118.9324
2007-05,120.7732
2007-06,122.6886
2007-07,121.4148
2007-08,116.7335
2007-09,115.0435
2007-10,115.8661
2007-11,111.0729
2007-12,112.449
2008-01,107.8181
2008-02,107.03
2008-03,100.7562
2008-04,102.6777
2008-05,104.3595
2008-06,106.9152
2008-07,106.8518
2008-08,109.3624
2008-09,106.5748
2008-10,99.9659
2008-11,96.9656
2008-12,91.275
2009-01,90.1205
2009-02,92.9158
2009-03,97.855
2009-04,98.92
2009-05,96.6445
2009-06,96.6145
2009-07,94.367
2009-08,94.8971
2009-09,91.2748
2009-10,90.3671
2009-11,89.2674
2009-12,89.9509
2010-01,91.1011
2010-02,90.1395
2010-03,90.7161
2010-04,93.4527
2010-05,91.973
2010-06,90.8059
2010-07,87.5005
2010-08,85.3727
2010-09,84.3571
2010-10,81.7285
2010-11,82.518
2010-12,83.3376
2011-01,82.625
2011-02,82.5368
2011-03,81.647
2011-04,83.1771
2011-05,81.1257
2011-06,80.4259
2011-07,79.2425
2011-08,76.9657
2011-09,76.7957
2011-10,76.643
2011-11,77.5595
2011-12,77.7967
2012-01,76.964
2012-02,78.47
2012-03,82.4659
2012-04,81.2524
2012-05,79.6668
2012-06,79.3152
2012-07,78.9348
2012-08,78.6909
2012-09,78.1353
2012-10,79.0132
2012-11,81.0305
2012-12,83.7905
2013-01,89.0581
2013-02,93.0016
2013-03,94.77
2013-04,97.7582
2013-05,100.9186
2013-06,97.235
2013-07,99.6727
2013-08,97.8123
2013-09,99.21
2013-10,97.77
2013-11,100.0737
2013-12,103.46
2014-01,103.7614
2014-02,102.1253
2014-03,102.3395
